duration,protocol_type,service,flag,src_bytes,dst_bytes,count,srv_count,same_srv_rate,diff_srv_rate,dst_host_count,dst_host_srv_count,dst_host_same_srv_rate,dst_host_diff_srv_rate,label
0.8020628420162821,tcp,ssh,SF,1059,391,3,5,0.755,0.06,22,59,0.862,0.187,normal
4.839148243771376,tcp,ssh,SF,2201,2241,5,4,0.809,0.052,88,6,0.765,0.052,normal
2.785852732841216,udp,dns,SF,278,83,12,3,0.861,0.194,70,98,0.817,0.015,normal
0.20915553376697604,udp,dns,SF,2280,2837,2,6,0.744,0.091,84,78,0.92,0.109,normal
4.863748695229479,tcp,ssh,SF,1991,529,3,5,0.925,0.285,95,62,0.672,0.108,normal
1.06115144043485,tcp,http,SF,3204,14669,3,5,0.906,0.042,69,30,0.611,0.101,normal
0.045918104872182196,tcp,https,SF,299,1240,7,5,0.818,0.277,21,64,0.673,0.123,normal
1.4272625544634712,tcp,https,SF,1250,3697,6,7,0.913,0.219,52,17,0.724,0.166,normal
0.4619731784630838,tcp,https,SF,4104,8601,8,3,0.961,0.178,87,91,0.739,0.04,normal
4.269352056098084,tcp,ssh,SF,1284,1098,5,3,0.77,0.001,97,93,0.836,0.162,normal
0.8062942995691429,tcp,http,SF,2418,3015,5,8,0.957,0.055,11,12,0.831,0.183,normal
1.5292651612519066,tcp,http,SF,4015,1487,6,6,0.864,0.283,2,18,0.64,0.079,normal
1.4189066594629849,tcp,http,SF,901,1731,8,5,0.792,0.185,23,19,0.707,0.056,normal
1.0497570664497493,tcp,http,SF,168,567,7,4,0.754,0.144,14,23,0.804,0.142,normal
0.0,tcp,http,S0,60,0,409,250,0.974,0.013,255,32,0.107,0.827,dos_syn_flood
0.0,tcp,private,S0,60,0,506,478,0.986,0.04,255,42,0.184,0.601,dos_syn_flood
1.4427121971372188,tcp,http,SF,758,907,6,4,0.928,0.197,2,60,0.967,0.196,normal
0.0,tcp,http,S0,0,0,262,297,0.965,0.034,255,39,0.14,0.827,dos_syn_flood
0.8844331142084659,tcp,https,SF,573,453,8,5,0.845,0.097,87,80,0.776,0.082,normal
0.9129169217431959,udp,dns,SF,1693,1007,5,4,0.783,0.283,95,47,0.819,0.104,normal
0.4095351818628054,udp,dns,SF,225,1120,2,4,0.853,0.095,65,50,0.818,0.066,normal
0.0,tcp,http,S0,44,0,321,177,0.989,0.002,255,37,0.08,0.838,dos_syn_flood
3.5373333525449437,tcp,https,SF,472,14679,6,2,0.703,0.258,53,40,0.753,0.082,normal
1.4105676997419205,tcp,http,SF,606,25,9,3,0.813,0.243,53,98,0.748,0.168,normal
1.9,tcp,ssh,SF,313,233,56,32,0.9,0.026,224,47,0.871,0.082,ssh_bruteforce
0.5910125771439351,tcp,http,SF,1610,100,4,4,0.798,0.071,48,30,0.968,0.137,normal
0.056,icmp,other,S0,0,0,85,2,0.091,0.897,255,14,0.046,0.758,port_scan
2.1635770399118357,tcp,http,SF,2499,15723,3,3,0.829,0.052,82,61,0.824,0.137,normal
1.81,tcp,ssh,SF,340,247,39,65,0.961,0.058,119,45,0.726,0.084,ssh_bruteforce
2.6617748805217554,tcp,http,SF,50,2096,3,4,0.87,0.119,15,52,0.615,0.08,normal
0.0051235236484229755,tcp,https,SF,1837,3494,3,1,0.752,0.261,43,97,0.847,0.1,normal
1.538132062115761,tcp,smtp,SF,2978,198,11,2,0.778,0.27,36,81,0.873,0.14,normal
0.56,tcp,ssh,SF,346,213,81,49,0.936,0.006,153,55,0.849,0.067,ssh_bruteforce
2.89,tcp,ssh,SF,270,175,54,26,0.987,0.092,211,27,0.817,0.127,ssh_bruteforce
2.8034823859220364,tcp,http,S0,4583,1238,4,4,0.815,0.181,63,2,0.887,0.179,normal
8.558495315387674,tcp,http,SF,448,13131,3,2,0.89,0.001,73,19,0.831,0.004,normal
0.0,tcp,http,S0,0,0,503,409,0.991,0.008,255,42,0.082,0.889,dos_syn_flood
0.05,tcp,private,REJ,64,0,76,1,0.026,0.964,255,14,0.076,0.961,port_scan
2.04,tcp,ftp,REJ,300,184,67,44,0.993,0.099,124,61,0.848,0.111,ssh_bruteforce
3.8550412124217592,tcp,ftp,SF,1762,558,5,5,0.788,0.11,45,90,0.791,0.042,normal
0.0,tcp,http,S0,0,0,236,221,0.962,0.034,255,29,0.189,0.807,dos_syn_flood
0.163,tcp,private,S0,40,0,184,2,0.058,0.983,255,13,0.04,0.946,port_scan
3.420541622021023,tcp,https,SF,191,1358,7,1,0.774,0.048,75,62,0.714,0.035,normal
3.4901321783468156,icmp,other,SF,485,844,7,5,0.883,0.169,19,60,0.819,0.119,normal
4.950651813559486,udp,dns,SF,1481,2372,7,2,0.97,0.001,69,70,0.786,0.024,normal
0.0,tcp,http,S0,0,0,279,154,1.0,0.045,255,31,0.136,0.659,dos_syn_flood
0.0,tcp,http,S0,0,0,205,444,0.983,0.013,255,42,0.158,0.77,dos_syn_flood
0.86,tcp,ssh,SF,323,238,87,42,0.986,0.023,249,60,0.785,0.137,ssh_bruteforce
0.0,tcp,http,S0,0,0,510,428,0.977,0.031,255,35,0.16,0.719,dos_syn_flood
0.32122025714182223,udp,dns,SF,145,253,6,3,0.925,0.062,9,32,0.733,0.158,normal
2.98,tcp,ssh,SF,271,268,46,39,0.92,0.08,236,74,0.833,0.105,ssh_bruteforce
1.08,tcp,ssh,SF,308,200,41,29,0.928,0.013,163,54,0.861,0.073,ssh_bruteforce
6.83150737964254,tcp,https,SF,336,1972,7,7,0.916,0.276,68,54,0.84,0.037,normal
1.4564293132490078,tcp,https,SF,1464,213,2,1,0.775,0.087,12,44,0.777,0.197,normal
0.05348161818138149,tcp,http,SF,458,833,3,5,0.795,0.027,7,86,0.965,0.156,normal
0.0,tcp,private,S0,44,0,471,415,0.972,0.02,255,32,0.143,0.794,dos_syn_flood
4.524959252638329,tcp,http,SF,364,580,6,2,0.885,0.169,90,9,0.708,0.161,normal
4.971910423496915,tcp,smtp,SF,403,3348,4,5,0.765,0.005,91,18,0.642,0.175,normal
1.0641271273820432,tcp,https,SF,996,999,4,3,0.722,0.053,17,54,0.875,0.009,normal
0.9766868684611602,tcp,ssh,SF,495,1626,6,7,0.873,0.031,58,12,0.654,0.151,normal
1.497343342087858,udp,dns,SF,741,67153,3,4,0.761,0.057,43,74,0.778,0.002,normal
0.073,tcp,eco_i,REJ,64,0,175,4,0.101,0.913,255,5,0.042,0.958,port_scan
0.183,tcp,other,S0,64,0,154,1,0.037,0.982,255,9,0.014,0.977,port_scan
0.0,tcp,http,S0,44,0,299,391,0.997,0.011,255,29,0.189,0.74,dos_syn_flood
10.91068867055042,udp,dns,SF,948,348,7,10,0.986,0.182,62,65,0.869,0.124,normal
8.408591988482096,tcp,http,SF,352,169,2,2,0.753,0.237,51,1,0.89,0.15,normal
0.0,tcp,http,RSTOS0,44,0,190,209,0.976,0.039,255,19,0.144,0.739,dos_syn_flood
1.0246548279942236,tcp,https,SF,1739,1036,4,3,0.972,0.149,8,59,0.757,0.014,normal
0.0,tcp,http,S0,0,0,438,392,0.984,0.036,255,28,0.104,0.653,dos_syn_flood
0.9,tcp,ssh,REJ,325,234,80,79,0.926,0.005,160,22,0.869,0.031,ssh_bruteforce
0.34661425483880315,tcp,http,SF,809,492,1,4,0.893,0.107,68,33,0.989,0.062,normal
2.024679780869039,tcp,ssh,SF,1577,15831,4,3,0.987,0.11,75,16,0.66,0.061,normal
1.7665224172201943,tcp,https,SF,1112,4520,4,6,0.715,0.187,38,24,0.73,0.135,normal
7.11421446505209,udp,dns,SF,427,2491,3,4,0.956,0.225,48,63,0.647,0.05,normal
3.388567861081977,tcp,http,SF,358,4031,2,7,0.939,0.063,48,19,0.798,0.082,normal
0.4281168407003356,udp,dns,SF,573,1287,3,3,0.752,0.084,6,63,0.858,0.137,normal
6.89007210684513,tcp,ftp,SF,164,82,4,1,0.972,0.262,78,12,0.665,0.166,normal
3.622232766600652,udp,dns,SF,470,6167,6,8,0.828,0.278,69,23,0.942,0.183,normal
0.11312753576969359,udp,dns,SF,1554,1269,4,1,0.776,0.049,40,89,0.626,0.057,normal
0.0,tcp,private,S0,60,0,498,334,0.956,0.047,255,14,0.118,0.739,dos_syn_flood
0.0,tcp,http,S0,44,0,467,209,0.954,0.039,255,35,0.155,0.776,dos_syn_flood
0.0,tcp,http,S0,60,0,459,221,0.957,0.002,255,30,0.12,0.891,dos_syn_flood
0.175,tcp,eco_i,REJ,40,0,165,2,0.115,0.899,255,2,0.034,0.778,port_scan
0.5122578110285421,tcp,https,SF,264,2434,6,5,0.778,0.229,95,95,0.645,0.009,normal
0.0,tcp,http,S0,44,0,447,383,0.969,0.015,255,28,0.194,0.836,dos_syn_flood
0.312925973340902,tcp,http,SF,147,1171,9,3,0.986,0.042,41,7,0.677,0.049,normal
0.07900682838821366,tcp,http,SF,237,1884,4,3,0.869,0.164,61,46,0.702,0.0,normal
8.325929465263215,tcp,https,SF,1589,88004,1,3,0.993,0.02,80,62,0.725,0.118,normal
1.26,tcp,ssh,SF,304,141,41,54,0.948,0.037,211,37,0.841,0.055,ssh_bruteforce
0.0,tcp,http,S0,60,0,190,467,0.984,0.032,255,44,0.095,0.743,dos_syn_flood
0.142,tcp,eco_i,REJ,64,0,97,4,0.028,0.909,255,6,0.079,0.804,port_scan
1.6337171686813121,tcp,https,SF,257,4857,6,7,0.947,0.279,59,96,0.737,0.031,normal
0.5918169095125319,tcp,http,SF,538,177,2,5,0.939,0.098,8,93,0.693,0.026,normal
4.2266122851810275,tcp,http,SF,1193,2077,3,4,0.724,0.102,67,75,0.811,0.137,normal
0.157806823385625,tcp,https,SF,523,306,5,6,0.987,0.177,69,62,0.624,0.199,normal
1.08,tcp,ftp,SF,334,209,88,55,0.964,0.071,209,54,0.856,0.02,ssh_bruteforce
0.7316061961938112,udp,dns,SF,12773,103,4,5,0.886,0.254,15,27,0.874,0.114,normal
0.0,tcp,other,S0,44,0,350,218,0.97,0.026,255,32,0.065,0.739,dos_syn_flood
6.360296017321792,tcp,smtp,SF,145,26367,6,1,0.945,0.004,39,76,0.746,0.122,normal
2.531107230010678,udp,dns,SF,308,2327,5,2,0.721,0.004,5,20,0.895,0.071,normal
0.3191124015276382,tcp,https,SF,1607,644,3,2,0.78,0.15,70,53,0.797,0.054,normal
3.499125771515371,udp,dns,SF,242,4552,3,5,0.999,0.062,35,6,0.981,0.179,normal
1.708546663831703,tcp,smtp,SF,6872,561,2,2,0.875,0.045,33,69,0.857,0.106,normal
0.056,icmp,telnet,RSTR,20,0,69,4,0.095,0.867,255,4,0.063,0.853,port_scan
0.4261088388544205,udp,dns,SF,1388,16907,3,4,0.991,0.166,15,3,0.837,0.127,normal
1.7536180364439558,tcp,http,SF,166,508,5,6,0.894,0.138,5,18,0.856,0.016,normal
2.391603056098316,udp,dns,SF,2610,432,7,4,0.843,0.244,6,81,0.823,0.001,normal
1.3099075413444994,tcp,http,SF,188,1438,2,3,0.928,0.214,81,60,0.633,0.168,normal
0.064,icmp,eco_i,RSTR,64,0,198,2,0.074,0.995,255,1,0.058,0.814,port_scan
1.795906273378064,tcp,http,SF,334,39366,3,4,0.814,0.052,74,49,0.633,0.187,normal
2.407282282491063,udp,dns,SF,674,12099,9,3,0.874,0.156,58,44,0.941,0.115,normal
0.7208285133943324,tcp,ftp,SF,1956,65876,5,2,0.874,0.252,69,1,0.618,0.143,normal
0.046,tcp,telnet,REJ,20,0,189,4,0.051,0.902,255,6,0.066,0.968,port_scan
0.2754721971888604,tcp,http,SF,1181,639,6,2,0.917,0.049,46,86,0.932,0.001,normal
1.8082481804047283,udp,dns,SF,5203,5315,4,3,0.898,0.146,64,10,0.727,0.142,normal
0.0,tcp,http,S0,0,0,159,319,0.986,0.039,255,46,0.158,0.881,dos_syn_flood
0.3472687254754558,udp,dns,SF,1253,31969,0,3,0.88,0.219,57,86,0.713,0.127,normal
10.17199559044233,tcp,ssh,SF,609,355,6,8,0.713,0.069,45,30,0.772,0.175,normal
0.06083736215424715,udp,dns,SF,6728,3054,6,1,0.717,0.254,29,73,0.709,0.021,normal
2.2406768542153035,icmp,other,SF,1814,191,2,6,0.889,0.133,43,63,0.702,0.09,normal
0.9307345396284532,tcp,http,SF,401,2000,6,4,0.992,0.281,48,60,0.607,0.15,normal
4.351371597796059,udp,dns,SF,295,12736,5,4,0.985,0.11,83,36,0.817,0.048,normal
2.25,tcp,ssh,SF,201,259,77,60,0.963,0.057,236,45,0.79,0.106,ssh_bruteforce
0.1308000190416351,tcp,http,SF,146,3870,5,9,0.705,0.058,76,55,0.709,0.146,normal
12.081322543673032,tcp,https,SF,1418,433,3,6,0.772,0.061,83,62,0.649,0.035,normal
2.57,tcp,ssh,SF,320,172,35,29,0.921,0.031,169,73,0.819,0.077,ssh_bruteforce
0.1960314692383643,udp,dns,SF,75,7401,1,3,0.998,0.144,89,11,0.673,0.061,normal
1.42,tcp,ssh,REJ,294,220,89,50,0.987,0.037,243,55,0.71,0.049,ssh_bruteforce
5.760145255916926,tcp,http,SF,3196,86,5,2,0.976,0.082,86,63,0.826,0.079,normal
0.0,tcp,http,S0,60,0,304,267,0.953,0.042,255,48,0.081,0.787,dos_syn_flood
0.052,tcp,private,REJ,20,0,171,4,0.13,0.963,255,7,0.037,0.746,port_scan
0.0,tcp,private,S0,60,0,434,357,0.965,0.027,255,38,0.183,0.784,dos_syn_flood
1.789731350155175,tcp,http,SF,685,2859,7,2,0.778,0.117,44,67,0.718,0.072,normal
1.0192429881025464,udp,dns,SF,3293,8560,3,6,0.953,0.285,31,68,0.893,0.178,normal
0.0,tcp,http,S0,60,0,314,227,0.982,0.01,255,36,0.126,0.676,dos_syn_flood
0.017,tcp,eco_i,RSTR,40,0,171,1,0.041,0.853,255,2,0.035,0.913,port_scan
0.071,tcp,private,REJ,40,0,103,1,0.108,0.858,255,4,0.056,0.942,port_scan
0.0,tcp,http,S0,44,0,377,336,0.974,0.029,255,46,0.081,0.793,dos_syn_flood
2.4490203128286194,tcp,https,SF,119,2548,9,9,0.852,0.234,25,60,0.932,0.154,normal
0.21805099166367012,udp,dns,SF,1499,565,3,4,0.928,0.046,20,25,0.707,0.072,normal
0.0,tcp,http,S0,60,0,273,369,0.985,0.038,255,23,0.19,0.8,dos_syn_flood
0.0,tcp,http,S0,60,0,256,433,0.964,0.023,255,11,0.185,0.797,dos_syn_flood
2.55,tcp,ftp,SF,326,264,64,32,0.915,0.02,223,62,0.878,0.104,ssh_bruteforce
0.0,tcp,http,S0,60,0,316,258,0.97,0.019,255,15,0.155,0.761,dos_syn_flood
0.166,tcp,private,REJ,20,0,89,3,0.112,0.891,255,2,0.019,0.889,port_scan
0.0,tcp,private,S0,44,0,218,510,0.964,0.018,255,23,0.082,0.695,dos_syn_flood
3.3446849121283995,tcp,http,SF,943,3862,7,2,0.927,0.2,28,76,0.794,0.159,normal
0.0,tcp,http,S0,0,0,249,462,0.996,0.008,255,13,0.089,0.707,dos_syn_flood
3.8323846054750548,tcp,http,SF,781,7635,6,8,0.78,0.218,97,55,0.893,0.172,normal
0.5401572591160054,tcp,ssh,SF,2374,889,5,3,0.804,0.093,16,51,0.728,0.05,normal
5.674040557156754,tcp,https,SF,1653,127,3,5,0.796,0.247,8,23,0.889,0.155,normal
0.0,tcp,http,S0,0,0,283,212,0.977,0.025,255,28,0.185,0.894,dos_syn_flood
1.6,tcp,ftp,SF,328,184,85,70,0.982,0.003,170,52,0.918,0.138,ssh_bruteforce
1.72,tcp,ssh,SF,415,209,89,42,0.907,0.051,140,41,0.717,0.101,ssh_bruteforce
